year,season,n_heavy,n_extreme,mean_precip,total_days
2005,Autumn,0,0,1.1133333333333333,30
2005,Winter,3,1,3.1193548387096777,31
2006,Autumn,9,4,3.156043956043956,91
2006,Spring,2,1,1.7880434782608696,92
2006,Summer,5,2,2.1119565217391307,92
2006,Winter,0,0,0.8322222222222223,90
2007,Autumn,3,2,1.634065934065934,91
2007,Spring,1,0,0.975,92
2007,Summer,4,0,1.2391304347826086,92
2007,Winter,4,1,1.94,90
2008,Autumn,4,2,1.7417582417582418,91
2008,Spring,5,4,1.8978260869565218,92
2008,Summer,7,3,2.3521739130434782,92
2008,Winter,4,1,1.8318681318681318,91
2009,Autumn,5,0,1.9274725274725275,91
2009,Spring,2,0,0.8586956521739131,92
2009,Summer,10,3,3.426086956521739,92
2009,Winter,4,2,2.2855555555555553,90
2010,Autumn,5,0,1.5703296703296703,91
2010,Spring,3,1,1.433695652173913,92
2010,Summer,6,2,2.5445652173913045,92
2010,Winter,9,1,2.6755555555555555,90
2011,Autumn,4,1,1.4197802197802196,91
2011,Spring,4,0,1.0945652173913043,92
2011,Summer,8,2,2.45,92
2011,Winter,4,1,1.6211111111111112,90
2012,Autumn,7,4,2.707692307692308,91
2012,Spring,3,1,1.2108695652173913,92
2012,Summer,11,4,3.0173913043478264,92
2012,Winter,2,1,2.079120879120879,91
2013,Autumn,3,0,1.0263736263736265,91
2013,Spring,1,0,0.5228260869565218,92
2013,Summer,8,3,4.075,92
2013,Winter,2,2,1.5666666666666667,90
2014,Autumn,9,1,2.5241758241758245,91
2014,Spring,2,1,1.0815217391304348,92
2014,Summer,3,1,1.5717391304347825,92
2014,Winter,1,0,1.2977777777777777,90
2015,Autumn,2,1,1.1604395604395605,91
2015,Spring,1,1,1.2869565217391306,92
2015,Summer,5,3,1.6956521739130435,92
2015,Winter,4,2,2.1177777777777775,90
2016,Autumn,3,0,1.6384615384615384,91
2016,Spring,5,1,2.1717391304347826,92
2016,Summer,4,1,1.8652173913043477,92
2016,Winter,2,1,1.456043956043956,91
2017,Autumn,8,5,3.1142857142857148,91
2017,Spring,4,2,1.373913043478261,92
2017,Summer,7,2,3.5456521739130435,92
2017,Winter,5,0,1.548888888888889,90
2018,Autumn,3,1,1.4395604395604396,91
2018,Spring,2,0,0.866304347826087,92
2018,Summer,4,2,1.9673913043478262,92
2018,Winter,7,2,2.968888888888889,90
2019,Autumn,11,1,3.103296703296703,91
2019,Spring,5,1,2.1673913043478263,92
2019,Summer,5,2,2.4108695652173915,92
2019,Winter,6,1,2.151111111111111,90
2020,Autumn,6,3,2.2285714285714286,91
2020,Spring,5,4,1.6532608695652173,92
2020,Summer,8,0,2.106521739130435,92
2020,Winter,5,1,2.0142857142857142,91
2021,Autumn,5,1,1.520879120879121,91
2021,Spring,2,0,1.0021739130434784,92
2021,Summer,7,5,3.268478260869565,92
2021,Winter,7,2,1.8566666666666667,90
2022,Autumn,4,0,1.5593406593406594,91
2022,Spring,3,1,0.866304347826087,92
2022,Summer,4,1,2.005434782608696,92
2022,Winter,4,2,1.57,90
2023,Autumn,10,7,3.82967032967033,91
2023,Spring,1,0,0.6815217391304348,92
2023,Summer,10,6,4.495652173913044,92
2023,Winter,5,1,1.9744444444444442,90
2024,Autumn,4,1,1.436263736263736,91
2024,Spring,3,0,0.9858695652173913,92
2024,Summer,6,0,1.6163043478260868,92
2024,Winter,3,1,1.512087912087912,91
2025,Spring,0,0,0.054838709677419356,31
2025,Winter,7,3,2.772881355932203,59
